mRNA--miRNA,107069
mRNA--mRNA,33159
miRNA--miRNA,19328
miRNA--pseudogene,16813
mRNA--pseudogene,13412
KSHV-miRNA--mRNA,5857
pseudogene--pseudogene,4490
KSHV-miRNA--miRNA,2026
miRNA--pr-tr,1586
KSHV-miRNA--pseudogene,1176
mRNA--tRNA,809
mRNA--pr-tr,683
miRNA--tRNA,462
pseudogene--tRNA,342
lincRNA--miRNA,296
mRNA--miscRNA,258
miRNA--miscRNA,251
miRNA--snRNA,242
pr-tr--pseudogene,227
lincRNA--mRNA,194
miRNA--snoRNA,191
mRNA--snoRNA,166
miscRNA--pseudogene,134
pr-tr--pr-tr,130
mRNA--snRNA,95
KSHV-miRNA--pr-tr,88
KSHV-miRNA--KSHV-miRNA,78
pseudogene--snoRNA,72
KSHV-miRNA--tRNA,47
lincRNA--pseudogene,45
pseudogene--snRNA,43
snoRNA--snoRNA,28
KSHV-miRNA--snRNA,24
lincRNA--lincRNA,21
KSHV-miRNA--lincRNA,20
miscRNA--miscRNA,11
pr-tr--tRNA,10
lincRNA--pr-tr,10
KSHV-miRNA--miscRNA,9
KSHV-miRNA--snoRNA,8
miscRNA--pr-tr,4
tRNA--tRNA,4
miscRNA--tRNA,2
snRNA--tRNA,2
snRNA--snRNA,2
lincRNA--miscRNA,2
lincRNA--tRNA,2
snRNA--snoRNA,2
Ig--pseudogene,1
Trec--mRNA,1
pr-tr--snRNA,1
lincRNA--snoRNA,1
pr-tr--snoRNA,1
Ig--miRNA,1
miscRNA--snRNA,1
